address,price,beds,baths,area
"20403 Warrington Dr, Detroit, MI 48221","$275,000",3,2.0,1248
"17331 Steel St, Detroit, MI 48235","$214,900",3,2.0,1441
"18076 Kentucky St, Detroit, MI 48221","$147,300",3,2.0,2173
"743 Virginia Park St, Detroit, MI 48202","$250,000",5,4.0,3715
"4400 Leslie St, Detroit, MI 48238","$189,900",5,4.0,3902
"1470 Helen St, Detroit, MI 48207","$275,000",4,3.0,2472
"212 Marlborough St, Detroit, MI 48215","$215,000",2,1.0,1328
"2009 Edison St, Detroit, MI 48206","$573,999",5,3.0,3300
"18690 Marlowe St, Detroit, MI 48235","$184,900",4,3.0,1582
"254 Alter Rd, Detroit, MI 48215","$210,000",3,2.0,2763
"1558 Pingree St, Detroit, MI 48206","$234,990",5,2.0,2900
"15469 Evergreen Rd, Detroit, MI 48223","$189,000",4,4.0,1248
"14748 Woodmont Ave, Detroit, MI 48227","$165,000",4,2.0,1625
"18054 Appoline St, Detroit, MI 48235","$215,000",3,2.0,2189
"1801 Church St, Detroit, MI 48216","$1,899,000",4,2.0,3600
"16119 Fielding St, Detroit, MI 48219","$165,000",3,1.0,1416
"18032 Archdale St, Detroit, MI 48235","$195,000",3,2.0,1860
"5766 Three Mile Dr, Detroit, MI 48224","$180,000",4,2.0,1465
"2971 Seyburn St, Detroit, MI 48214","$18,500",4,2.0,1401
"4108 Kendall St, Detroit, MI 48238","$199,900",3,2.0,1656
"503 Mount Vernon St, Detroit, MI 48202","$409,000",4,3.0,1955
"284 Erskine St, Detroit, MI 48201","$750,000",8,4.0,5442
"16346 Ellsworth St, Detroit, MI 48227","$140,000",3,2.0,1400
"4039 E Outer Dr, Detroit, MI 48234","$140,000",3,2.0,1500
"2235 Virginia Park St, Detroit, MI 48206","$207,400",3,2.0,2225
"4385 Berkshire St, Detroit, MI 48224","$240,000",5,3.0,2523
"644 Melbourne St, Detroit, MI 48202","$329,000",4,3.0,1738
"5710 Nottingham Rd, Detroit, MI 48224","$129,900",4,2.0,2621
